#separator:tab
#html:true
#columns:Recto	Verso	Tags
#tags column:3
#notetype:Basic (and reversed card)
Relutif / dilutif (Accretive / dilutive)	Effet d'un deal sur le BPA de l'acquéreur. En tout-actions : relutif si P/E acquéreur > P/E payé. Relutif ≠ créateur de valeur (avec dette bon marché, tout est relutif).	Closing::Lexique::MA
Goodwill	Écart entre prix payé et juste valeur des actifs nets identifiables acquis. Testé chaque année ; sa dépréciation avoue un surpaiement.	Closing::Lexique::Compta
Dépréciation (Impairment)	Constat comptable non-cash qu'un actif ne vaut plus sa valeur au bilan. Traverse le résultat ; le cash, lui, a été détruit au moment de l'achat.	Closing::Lexique::Compta
ROCE (Return on capital employed)	Rentabilité du capital investi dans le métier. ROCE > WACC = création de valeur ; l'inverse en détruit, même en croissance.	Closing::Lexique::Analyse
Covenant	Ratio contractuel (ex. dette nette/EBITDA < 3,5×) dont la violation permet aux prêteurs d'exiger le remboursement. Sa marge (headroom) compte plus que son niveau.	Closing::Lexique::Dette
Cov-lite	Dette sans covenants de maintenance (testés en permanence), seulement d'incurrence (testés lors d'actions). Confort de l'emprunteur, risque du prêteur.	Closing::Lexique::Dette
Cross-default (défaut croisé)	Clause rendant toutes les dettes exigibles dès qu'une seule est en défaut. L'effet domino contractualisé.	Closing::Lexique::Dette
Change of control	Clause rendant la dette exigible en cas de rachat de l'emprunteur. À vérifier chez toute cible : son refinancement fait partie du prix du deal.	Closing::Lexique::Dette
LBO (Leveraged buyout)	Rachat par endettement : peu d'equity, beaucoup de dette, remboursée par les cash-flows de la cible via une holding (NewCo).	Closing::Lexique::LBO
Dette senior (Senior debt)	Premier rang de la dette LBO : la moins chère, la mieux protégée (sûretés), remboursée en premier.	Closing::Lexique::LBO
Mezzanine	Dette subordonnée entre senior et equity, souvent avec accès au capital (warrants) et intérêts capitalisés (PIK).	Closing::Lexique::LBO
Unitranche	Tranche unique fusionnant senior et subordonné, fournie par les fonds de dette privée. Plus chère, plus rapide à exécuter.	Closing::Lexique::LBO
PIK (Payment in kind)	Intérêts non payés en cash mais ajoutés au principal : préserve la trésorerie, fait boule de neige.	Closing::Lexique::LBO
TRI (IRR, internal rate of return)	Rendement annualisé d'un investissement. Sensible à la durée et manipulable (sorties rapides, subscription lines) — toujours à lire avec le MOIC.	Closing::Lexique::LBO
MOIC (Multiple on invested capital)	Multiple sur la mise : cash rendu / cash investi. Insensible au temps — le complément indispensable du TRI.	Closing::Lexique::LBO
Dividend recap	Réendetter la participation pour verser un dividende au fonds avant la sortie. Sécurise le fonds, recharge le risque de l'entreprise.	Closing::Lexique::LBO
Build-up (bolt-on)	Acquisitions de petits concurrents par la participation d'un fonds : arbitrage de multiple (acheter 5×, revalorisé 9× dans l'ensemble).	Closing::Lexique::LBO
Management package	Investissement et intéressement des dirigeants dans un LBO (sweet equity, ratchet), avec clauses good/bad leaver.	Closing::Lexique::LBO
Good / bad leaver	Qualification du départ d'un manager : légitime (prix de marché) ou fautif/précoce (prix décoté). Décide s'il part avec ×3 ou zéro.	Closing::Lexique::LBO
Carried interest	Intéressement de l'équipe du fonds (~20 % des plus-values au-delà d'un hurdle, souvent 8 %). Le moteur du private equity.	Closing::Lexique::LBO
LP / GP (Limited / general partner)	LP : les investisseurs du fonds (assureurs, fonds de pension). GP : la société de gestion qui investit et gère.	Closing::Lexique::LBO
Teaser	Document anonyme d'1-2 pages présentant une cible à vendre. Première étape du process sell-side.	Closing::Lexique::Process
Mémorandum d'information (CIM, Info memo)	Document détaillé (50-100 p.) remis après NDA : activité, chiffres, business plan de la cible.	Closing::Lexique::Process
Offre indicative (IOI, non-binding offer)	Offre de premier tour, non engageante : fourchette de prix, structure, financement envisagé. Sert à être shortlisté.	Closing::Lexique::Process
Offre ferme (Binding offer)	Offre engageante de second tour, avec SPA marké et financement documenté.	Closing::Lexique::Process
Data room	Espace virtuel où le vendeur expose les documents de la cible pour la DD. Ce qui y est révélé (disclosed) est réputé accepté.	Closing::Lexique::Process
Due diligence	Audit d'acquisition (financier, juridique, fiscal, social…). Alimente le prix, les garanties et la structure — tes munitions contractuelles.	Closing::Lexique::Process
VDD (Vendor due diligence)	DD commandée par le vendeur avant le process, remise aux candidats. Fiabilise l'information et accélère l'enchère.	Closing::Lexique::Process
Exclusivité (Exclusivity)	Engagement du vendeur de ne négocier qu'avec un seul candidat. L'actif le plus précieux du vendeur : se vend contre prix confirmé et calendrier.	Closing::Lexique::Process
Double voie (Dual track)	Mener en parallèle une IPO et une cession M&A pour faire jouer la concurrence entre les deux sorties.	Closing::Lexique::Process
LOI (Letter of intent, term sheet)	Lettre d'intention : accord de principe non engageant sur le prix, mais aux clauses de cadre (exclusivité, confidentialité) bien engageantes.	Closing::Lexique::Juridique
SPA (Share purchase agreement)	Contrat de cession d'actions : prix et ajustements, période intercalaire, garanties, conditions suspensives. Chaque virgule a un prix.	Closing::Lexique::Juridique
Déclarations et garanties (Reps & warranties)	Affirmations du vendeur sur la société (comptes, litiges, conformité). Leur violation déclenche l'indemnisation.	Closing::Lexique::Juridique
Garantie d'actif-passif (Indemnity)	Mécanisme d'indemnisation de l'acheteur pour les passifs cachés. Négociée via cap, durée, franchise, de minimis.	Closing::Lexique::Juridique
Franchise / seuil (Basket / deductible)	Seuil de déclenchement des garanties. Tipping : tout est dû dès le seuil franchi ; deductible : seulement l'excédent. Des millions d'écart.	Closing::Lexique::Juridique
Séquestre (Escrow)	Partie du prix bloquée chez un tiers pour sécuriser les réclamations de garantie. Indispensable face à un vendeur qui distribue (fonds).	Closing::Lexique::Juridique
Assurance W&I (W&I insurance)	L'assureur se substitue au vendeur pour indemniser l'acheteur. Standard des sorties de fonds ; exclut les risques identifiés et la fraude.	Closing::Lexique::Juridique
Locked box	Prix fixé sur un bilan de référence verrouillé ; toute fuite de valeur (leakage) vers le vendeur est remboursable. Favorable au vendeur.	Closing::Lexique::Juridique
Comptes de closing (Completion accounts)	Ajustement du prix sur les comptes établis au jour du closing (dette nette, BFR réels vs cibles). Précis mais contentieux.	Closing::Lexique::Juridique
Complément de prix (Earn-out)	Part du prix conditionnée aux performances futures de la cible. Structurellement conflictuel : l'acheteur contrôle ce qui déclenche le paiement.	Closing::Lexique::Juridique
Clause MAC (Material adverse change)	Permet de ne pas closer si un événement grave et durable frappe la cible entre signing et closing. Interprétée très restrictivement (cf. LVMH-Tiffany).	Closing::Lexique::Juridique
Indemnité de rupture (Break-up fee)	Somme due si une partie abandonne le deal dans des cas définis. Ne permet PAS de s'échapper à volonté (cf. Musk-Twitter).	Closing::Lexique::Juridique
Exécution forcée (Specific performance)	Droit d'exiger en justice la réalisation du deal lui-même, pas seulement des dommages. La clause qui a forcé Musk à payer.	Closing::Lexique::Juridique
Conditions suspensives (Conditions precedent)	Conditions à réaliser entre signing et closing : antitrust, IEF, parfois financement. Elles définissent qui porte quel risque d'exécution.	Closing::Lexique::Juridique
Gun jumping	Mettre en œuvre le rapprochement avant l'autorisation antitrust (échanges sensibles, contrôle de fait). Lourdement sanctionné (Altice, 80 M€).	Closing::Lexique::Reglementaire
Offre publique obligatoire (Mandatory tender offer)	En France, franchir 30 % du capital ou des droits de vote impose une offre sur 100 % des titres. D'où les prises de position à 29,9 %.	Closing::Lexique::Reglementaire
Retrait obligatoire (Squeeze-out)	À 90 %, l'initiateur peut exproprier les minoritaires restants contre indemnisation expertisée. L'aboutissement d'une OPA réussie.	Closing::Lexique::Reglementaire
Pilule empoisonnée (Poison pill)	Mécanisme anti-OPA : franchir un seuil déclenche une dilution punitive de l'assaillant. Force la négociation avec le conseil.	Closing::Lexique::Defense
Chevalier blanc (White knight)	Acquéreur ami sollicité par la cible pour contrer une offre hostile.	Closing::Lexique::Defense
Standstill	Engagement de ne pas acheter de titres de la cible en bourse pendant/après des négociations. Empêche le raid informé.	Closing::Lexique::Defense
Sortie conjointe (Tag along)	Droit du minoritaire de vendre aux mêmes conditions que le majoritaire. Protection contre un changement de contrôle subi.	Closing::Lexique::Pacte
Cession forcée (Drag along)	Obligation du minoritaire de vendre quand le majoritaire cède 100 %. Protège la liquidité de l'ensemble.	Closing::Lexique::Pacte
Matières réservées (Reserved matters)	Décisions exigeant l'accord d'un actionnaire donné (budget, M&A, dette…). Le contrôle réel se lit là, pas dans les pourcentages.	Closing::Lexique::Pacte
Information privilégiée (Inside information)	Information précise, non publique, susceptible d'influencer le cours. L'utiliser = délit d'initié ; si elle fuit, l'émetteur doit communiquer sans délai (MAR).	Closing::Lexique::Reglementaire
Construction du livre (Bookbuilding)	Collecte des intentions d'achat des institutionnels pour fixer le prix d'une IPO ou d'un placement.	Closing::Lexique::Marches
Surallocation (Greenshoe)	Option de ~15 % permettant aux banques de stabiliser le cours après l'IPO.	Closing::Lexique::Marches
Blocage de cession (Lock-up)	Interdiction de vente (90-180 j) pour les actionnaires historiques après une IPO. Son expiration est un événement de marché.	Closing::Lexique::Marches
Écart de crédit (Credit spread)	Prime de rendement au-dessus du taux sans risque, thermomètre en temps réel du risque perçu d'un émetteur. Mesuré en points de base.	Closing::Lexique::Marches
Haut rendement (High yield)	Dette notée sous BBB- : risque et rendement élevés. La frontière avec l'investment grade est une falaise réglementaire, pas une marche.	Closing::Lexique::Marches
Ange déchu (Fallen angel)	Émetteur dégradé d'investment grade en high yield : ventes forcées des investisseurs contraints, spread qui saute.	Closing::Lexique::Marches
Duration	Sensibilité du prix d'une obligation aux taux : ~1 % de prix par point de duration pour 1 % de taux. Ce qui a tué SVB.	Closing::Lexique::Marches
AT1 / CoCo (Contingent convertible)	Titre hybride bancaire absorbant les pertes (conversion ou dépréciation, parfois à zéro) en cas de non-viabilité. Le rendement paie exactement ce risque (cf. Credit Suisse).	Closing::Lexique::Marches
Cascade de priorité (Waterfall)	Ordre de remboursement en cas de défaut : new money, senior, unsecured, subordonné, equity. Chaque étage servi avant le suivant.	Closing::Lexique::Resto
Point de rupture (Fulcrum security)	La tranche de dette partiellement couverte par la valeur : elle convertit en capital et prend le contrôle de la restructuration. La cible des fonds distressed.	Closing::Lexique::Resto
Conversion de créances (Debt-to-equity swap)	Échange de dette contre du capital : les créanciers deviennent actionnaires, les actionnaires historiques sont dilués ou évincés.	Closing::Lexique::Resto
Cessation des paiements (Insolvency, cash-flow test)	Impossibilité de payer le passif exigible avec l'actif disponible. À déclarer sous 45 jours, sous peine de sanctions personnelles du dirigeant.	Closing::Lexique::Resto
Mandat ad hoc	Procédure amiable et confidentielle : un mandataire aide à négocier avec les créanciers, l'entreprise reste aux commandes.	Closing::Lexique::Resto
Conciliation	Procédure amiable (≤5 mois) permettant d'homologuer un accord et de privilégier la new money. L'antichambre des grands deals de restructuration français.	Closing::Lexique::Resto
Sauvegarde (Safeguard)	Procédure collective préventive : gel du passif AVANT la cessation des paiements, plan négocié sous protection du tribunal (cf. Rallye).	Closing::Lexique::Resto
Prepack (Pre-packaged sale)	Cession préparée confidentiellement en amiable, exécutée en quelques semaines une fois la procédure ouverte. Minimise la destruction de valeur publique.	Closing::Lexique::Resto
Argent frais (New money)	Financement apporté pendant la crise : exige et obtient le premier rang (privilège) et des conditions léonines. En restructuration, le cash frais commande.	Closing::Lexique::Resto
Détourage (Carve-out)	Extraction d'une activité d'un groupe pour la céder : périmètre, contrats de transition (TSA), fonctions support à recréer. La complexité cachée des cessions de filiales.	Closing::Lexique::MA
Scission (Spin-off)	Séparation d'une activité distribuée aux actionnaires sous forme de société cotée indépendante. L'arme classique contre les décotes de conglomérat.	Closing::Lexique::MA
Crédit-vendeur (Vendor loan)	Le vendeur finance une partie du prix (paiement différé). Aligne les intérêts et comble un déficit de financement — mais le vendeur devient créancier de son acheteur.	Closing::Lexique::MA
Crédit relais (Bridge loan)	Financement court terme en attendant une levée définitive (obligataire, cession). Utile et dangereux : si le marché se ferme, le pont ne mène nulle part.	Closing::Lexique::Dette
Syndication	Répartition d'un crédit entre plusieurs banques. Si le marché se retourne avant la revente, la dette reste collée aux arrangeurs (hung deal, cf. Musk-Twitter).	Closing::Lexique::Dette
Attestation d'équité (Fairness opinion)	Avis d'un expert indépendant sur le caractère équitable d'un prix. Protège le conseil d'administration — et parfois ne protège que lui.	Closing::Lexique::Process
EV/EBITDA — Logiciel / SaaS	<b>15-25×+</b>. Revenus récurrents, marges brutes 70-85 %, scalabilité, croissance. Se valorise aussi en EV/Sales ou ARR quand pas encore rentable. Règle des 40 : croissance % + marge % ≥ 40.	Closing::Multiples
EV/EBITDA — Luxe	<b>12-20×</b>. Pricing power, marque intemporelle, marges opérationnelles 25-40 %, résilience. LVMH, Hermès en haut de fourchette.	Closing::Multiples
EV/EBITDA — Pharma (big pharma)	<b>10-14×</b>. Cash-flows solides mais falaises de brevets (patent cliffs) et R&D risquée qui plafonnent le multiple.	Closing::Multiples
Valorisation — Biotech pré-revenus	<b>Pas d'EBITDA</b> (souvent négatif). Valorisée par le pipeline : rNPV (VAN ajustée du risque par phase clinique), probabilités de succès, taille du marché. WACC 12-15 %.	Closing::Multiples
EV/EBITDA — Semi-conducteurs	<b>12-20×</b>. Cyclique mais croissance structurelle (IA, électrification) ; capital-intensif (fabs). Multiple élevé sur les leaders (ASML, Nvidia).	Closing::Multiples
EV/EBITDA — Industrie / manufacturing	<b>6-9×</b>. Capital-intensif, cyclique, marges 10-15 %. Le cœur de gamme du LBO industriel.	Closing::Multiples
EV/EBITDA — Automobile (OEM & équipementiers)	<b>3-5×</b>. Très cyclique, capital-intensif, marges faibles (5-8 %), forte intensité BFR. Multiple structurellement bas.	Closing::Multiples
EV/EBITDA — Distribution alimentaire	<b>5-7×</b>. Marges très faibles (2-4 %) mais BFR négatif (encaisse comptant, paie fournisseurs à 60 j) = machine à cash.	Closing::Multiples
EV/EBITDA — Télécom	<b>5-7×</b>. Capex lourd (réseaux, fibre, 5G), croissance faible, mais cash-flows récurrents et prévisibles. Endettement structurellement élevé.	Closing::Multiples
EV/EBITDA — Utilities / régulé (eau, réseaux)	<b>8-12×</b> (ou valorisation par RAB / base d'actifs régulés). Cash très stable, faible risque → WACC bas (5-6 %) → multiple soutenu malgré la faible croissance.	Closing::Multiples
EV/EBITDA — Infrastructure (aéroports, autoroutes)	<b>12-18×+</b>. Cash-flows très longs, très stables, quasi-monopoles, barrières colossales. Les fonds d'infra acceptent des rendements bas pour ce risque faible.	Closing::Multiples
EV/EBITDA — Défense	<b>10-14×</b>. Visibilité du carnet de commandes (contrats pluriannuels étatiques), barrières à l'entrée, budgets en hausse.	Closing::Multiples
EV/EBITDA — Médias traditionnels	<b>6-9×</b>. Déclin structurel de la pub linéaire, désintermédiation par le streaming. Décote de « value trap ».	Closing::Multiples
EV/EBITDA — Services B2B / IT services	<b>8-12×</b>. Asset-light, marges correctes, revenus récurrents ou contractuels. Cible favorite des fonds pour les build-ups.	Closing::Multiples
EV/EBITDA — Énergie amont (O&G upstream)	<b>3-5×</b>. Prix de commodité subi, très cyclique, capex lourd, risque de « stranded assets ». Multiple bas et volatil.	Closing::Multiples
Banques — comment on les valorise	<b>Pas d'EV/EBITDA</b> (la dette EST la matière première). On utilise le P/E (8-12×) et surtout le P/B (price-to-book, ~0,7-1,5×), piloté par le ROE vs coût des fonds propres.	Closing::Multiples
Immobilier / foncières — comment on les valorise	Par le <b>taux de capitalisation</b> (loyer net / valeur), la décote/prime sur ANR (P/NAV), et le rendement. Sensibles aux taux : quand les taux montent, les valeurs baissent.	Closing::Multiples
Pourquoi un même secteur, deux multiples différents ?	Un multiple encapsule croissance, ROCE et risque. Une boîte à 12× peut être MOINS chère qu'une à 8× si elle croît deux fois plus vite et à meilleur ROCE. Ne compare jamais un multiple seul.	Closing::Multiples
Multiple de transaction vs multiple boursier	Le multiple de transaction est plus élevé de <b>20-40 %</b> : il inclut la prime de contrôle. N'applique jamais un multiple de deal à une participation minoritaire.	Closing::Multiples
IPO — la décote systématique (underpricing)	Une IPO se price <b>10-15 % sous</b> sa valeur estimée. Raisons : prime d'incertitude exigée + nécessité d'un premier jour en hausse (liquidité, couverture analystes, futures levées).	Closing::IPO
IPO — le « pop » du premier jour	Un titre qui bondit de +20-30 % au jour 1 n'est pas un triomphe pour l'émetteur : c'est de l'argent « laissé sur la table » (money left on the table). Il aurait pu lever plus. Mais casser son prix serait pire.	Closing::IPO
IPO — valo privée ≠ prix de marché	Une valo de dernier tour privé est le prix qu'UN investisseur motivé a payé, souvent avec des protections (liquidation prefs). Le marché public la réévalue souvent à la baisse (cf. WeWork : 47 Md → &lt;15 Md).	Closing::IPO
IPO — expiration du lock-up	90-180 j après l'IPO, les historiques peuvent enfin vendre : un mur d'offre arrive, souvent anticipé par une pression baissière. Surveille le calendrier comme une échéance de dette.	Closing::IPO
IPO — pourquoi les boîtes se cotent (au-delà du cash)	Rarement pour le seul cash : liquidité pour les actionnaires historiques, monnaie d'acquisition (actions cotées), visibilité/crédibilité, intéressement des salariés (stock). Le cash n'est qu'une raison parmi d'autres.	Closing::IPO
IPO — la fenêtre de marché (IPO window)	Les IPO arrivent par vagues : elles se pressent quand les marchés sont hauts et l'appétit fort, et disparaissent en récession. Le timing dépend plus du marché que de la maturité de l'entreprise.	Closing::IPO
IPO — les investisseurs pierre angulaire (cornerstone)	De grands institutionnels s'engagent à acheter une part fixe AVANT le bookbuilding, en échange d'une allocation garantie. Ils ancrent le livre et rassurent — signal de qualité.	Closing::IPO
IPO — le fait gênant : la sous-performance à 3 ans	Statistiquement, la majorité des IPO sous-performent le marché sur 3 ans. Le vendeur (fondateurs, fonds) connaît la boîte mieux que toi et choisit le moment de vendre. Méfiance sur le prix.	Closing::IPO
IPO — dual-class shares (actions à droit de vote multiple)	Le fondateur garde le contrôle avec une fraction du capital (cf. WeWork 20:1, Meta, Google). Red flag de gouvernance : pouvoir sans contre-pouvoir, personne ne peut sanctionner le dirigeant.	Closing::IPO
IPO — direct listing vs IPO classique	Direct listing : cotation sans lever d'argent ni syndicat garantissant le prix (Spotify, Coinbase). Pas de décote ni de dilution, mais pas de capital levé ni de stabilisation. Réservé aux marques connues.	Closing::IPO
SPAC — la coquille cotée	Société sans activité qui lève en bourse pour acquérir une cible dans les 24 mois (« chèque en blanc »). Boom 2020-21, effondrement ensuite : dilution des sponsors, cibles surévaluées, rachats massifs.	Closing::IPO
Roadshow & quiet period	Roadshow : tournée de présentation aux institutionnels avant l'IPO. Quiet period : silence réglementaire imposé autour de l'opération pour éviter la manipulation du marché.	Closing::IPO
LBO — pourquoi les fonds font ça (les 3 raisons)	<b>1) Contrôle</b> (agir sans compromis), <b>2) Levier</b> (démultiplier le rendement des fonds propres), <b>3) Alignement</b> (management qui investit son argent, skin in the game). Le levier seul ne suffit plus.	Closing::LBO
LBO — la cible idéale	Cash-flows <b>stables et prévisibles</b> (le crédit déteste les surprises), position défendable, faible capex, faible cyclicité, dette existante limitée, leviers d'amélioration identifiés. → santé, services B2B, SaaS.	Closing::LBO
LBO — les 3 moteurs de rendement	<b>1) Désendettement</b> (la dette remboursée devient equity), <b>2) Croissance de l'EBITDA</b> (opérationnel), <b>3) Expansion de multiple</b> (acheter 7×, vendre 9× — dépend du marché). Un bon fonds parie sur les 2 premiers.	Closing::LBO
LBO — pourquoi les cycliques sont de mauvaises cibles	Le levier transforme la volatilité opérationnelle en risque existentiel : un EBITDA qui fait −30 % en creux de cycle est absorbable sans dette, fatal avec 6× de levier (covenants cassés, equity à zéro).	Closing::LBO
LBO — niveaux de levier typiques	Environ <b>5-6× l'EBITDA</b> de dette totale, dont ~3,5-4,5× de senior. Equity check de 30-50 % du prix. Au-delà, la structure devient fragile (sauf actifs ultra-stables type infra).	Closing::LBO
LBO — durée de détention typique	<b>4-6 ans</b>. Assez pour désendetter et améliorer l'opérationnel, assez court pour rendre le cash aux LP. Sorties : industriel, secondary LBO (autre fonds), IPO (rare).	Closing::LBO
LBO — la courbe en J (J-curve)	Le TRI d'un fonds est négatif les premières années (frais + investissements, pas encore de sorties), puis remonte fortement quand les cessions arrivent. Normal — d'où l'importance de l'horizon.	Closing::LBO
LBO — pourquoi le management « roule » son equity	Réinvestir le produit de sa revente dans le nouveau montage (rollover) : signal de confiance exigé par le fonds, et alignement total. Le dirigeant gagne ×5-10 en cas de succès… ou perd tout.	Closing::LBO
LBO — la stratégie buy-and-build	Une plateforme rachète des petits concurrents (add-ons) à multiple bas et les intègre dans un ensemble valorisé plus cher : arbitrage de multiple + synergies. Le levier de création de valeur dominant aujourd'hui.	Closing::LBO
LBO — le déterminant n°1 du rendement	<b>Le prix d'achat.</b> Payer trop cher détruit le rendement quels que soient les efforts opérationnels ensuite. « You make money when you buy, not when you sell. »	Closing::LBO
LBO — pourquoi les fonds adorent les carve-outs	Une division non-cœur d'un grand groupe est souvent sous-gérée, sous-investie, noyée dans les coûts centraux. Détachée et pilotée pour elle-même, sa marge et sa valeur peuvent bondir. Mais complexité d'exécution (TSA).	Closing::LBO
LBO — le secondary buyout	Un fonds vend sa participation à… un autre fonds. Majoritaire aujourd'hui. Question critique : si le vendeur a déjà capté le désendettement et l'amélioration facile, où est l'upside restant pour l'acheteur ?	Closing::LBO
Private equity — la structure de frais 2/20	Le GP prélève ~<b>2 % de frais de gestion</b> par an sur les fonds engagés + <b>20 % de carried interest</b> sur les plus-values au-delà d'un hurdle (souvent 8 %). L'alignement vient du carry, pas des frais.	Closing::LBO
Synergies — coûts vs revenus	Synergies de <b>coûts</b> (doublons, achats) : crédibles, réalisées à 60-80 %. Synergies de <b>revenus</b> (ventes croisées) : systématiquement surestimées, rarement réalisées. Règle : on paie les coûts au vendeur, jamais les revenus.	Closing::Realite
Création de valeur d'une acquisition	Valeur créée = synergies réalisées − prime payée − coûts d'intégration. Payer 35 % de prime pour 20 % de synergies = destruction de valeur, et le marché le sanctionne le jour de l'annonce.	Closing::Realite
La malédiction du vainqueur (winner's curse)	Dans une enchère, le gagnant est statistiquement celui dont les hypothèses étaient les plus optimistes — donc celui qui a le plus surpayé. Antidote : prix maximum fixé à froid, accepter de perdre.	Closing::Realite
« Le résultat est une opinion, le cash est un fait »	Le compte de résultat repose sur des estimations (provisions, amortissements, reconnaissance du CA) ; le cash est un fait bancaire. En cas de divergence prolongée résultat/cash → fraude probable (Enron, Wirecard).	Closing::Realite
Dette nette / EBITDA — les zones de danger	&lt;2× : conservateur. 2-3× : confortable. 3-4× : la limite hors LBO. &gt;4-5× : zone de danger (covenants serrés, refinancement difficile). Les LBO montent plus haut, avec une structure prévue pour.	Closing::Realite
DSCR (Debt service coverage ratio)	Cash-flow disponible / service de la dette (intérêts + principal). &lt;1 = l'entreprise ne couvre pas ses échéances. Le ratio roi du financement de projet et de l'immobilier.	Closing::Realite
Le cycle de conversion du cash (cash conversion cycle)	DSO (délai clients) + DIO (délai stocks) − DPO (délai fournisseurs), en jours. Plus il est court (voire négatif), plus l'exploitation génère du cash. Levier n°1 d'un fonds : réduire le DSO.	Closing::Realite
Règle de 72	Temps pour doubler un capital ≈ 72 / taux annuel %. À 8 %, doublement en 9 ans. Marche aussi pour la croissance. À connaître par cœur pour les entretiens.	Closing::Realite
La perpétuité (valeur d'un flux infini)	V = flux annuel / taux. Un loyer de 5 à un rendement de 4 % vaut 5/0,04 = 125. La brique de la valeur terminale du DCF, et le réflexe des actifs à cash-flow stable.	Closing::Realite
Gordon-Shapiro (dividende croissant)	Prix = D₁ / (r − g). 1 point de croissance perpétuelle en plus peut ajouter 20-25 % à la valeur → g est le champ de bataille de toute valorisation.	Closing::Realite
Le bouclier fiscal de la dette (tax shield)	Les intérêts sont déductibles → coût réel de la dette = taux × (1 − taux d'IS). C'est ce qui rend la dette moins chère que l'equity et fonde une partie de la logique du LBO.	Closing::Realite
Modigliani-Miller — l'intuition à retenir	La structure financière redistribue le risque, elle ne le supprime pas. Ajouter de la dette « pas chère » ne baisse pas le WACC indéfiniment : le risque (donc le coût) de l'equity et de la dette remonte.	Closing::Realite
Prime de risque actions (equity risk premium)	Rendement exigé des actions au-dessus du taux sans risque : historiquement ~4-6 %. Brique du CAPM. Monte en période de stress (les investisseurs exigent plus pour le risque).	Closing::Realite
La transformation de maturité — le risque commun	Financer des actifs longs/illiquides avec de la dette courte/liquide : le business model de la banque, et la cause de mort de Lehman, SVB, WeWork (version immobilière). Le levier fixe l'ampleur, la structure de financement fixe la vitesse.	Closing::Realite
Fire sale & dilemme du prisonnier	En liquidation forcée, la coopération (« vendons en ordre ») est instable : le premier qui vend s'en sort, les lents paient (cf. Archegos : Goldman vend, Credit Suisse perd 5,5 Md). Anticipe que chacun défend son intérêt.	Closing::Realite
Le levier invisible	Le danger le plus grand est celui qui n'apparaît dans aucun document : dérivés (TRS d'Archegos), hors-bilan (SPE d'Enron), engagements longs (loyers de WeWork). Mesure l'exposition ÉCONOMIQUE, pas la propriété juridique.	Closing::Realite
Risque identifié ≠ risque pricé	Connaître un risque ne suffit pas : il faut le traduire en réduction de prix, structure protectrice ou refus du deal. Bayer connaissait le glyphosate et a quand même perdu &gt;16 Md. Un risque non pricé est accepté gratuitement.	Closing::Realite
